t,x,xdot,theta,thetadot,u,theta_ref,x_hat,theta_hat
1.46,0.0519661,-0.102409,0.00841118,0.0649545,-1.49415,0.000746436,0.0553555,-0.0112719
1.47,0.0507934,-0.1321,0.00936481,0.125726,2.57195,0.000746436,0.0410225,0.0136846
1.48,0.0497303,-0.0805692,0.0101141,0.0243273,1.73075,0.000746436,0.0473136,0.0121886
1.49,0.0490971,-0.0461056,0.0100224,-0.0425793,-0.500349,0.000746436,0.0466134,-0.000276497
1.5,0.048585,-0.0563157,0.00970914,-0.0201183,3.47829,-0.00185238,0.0389064,0.0259499
1.51,0.0483682,0.0129037,0.00882574,-0.156397,1.04772,-0.00185238,0.0225615,0.0147982
1.52,0.0485994,0.0333274,0.0070686,-0.195051,0.670238,-0.00185238,0.0377105,0.0131715
1.53,0.0489969,0.0461883,0.0049994,-0.218847,-0.590614,-0.00185238,0.0410454,0.00499752
1.54,0.0493973,0.0339146,0.00294187,-0.192791,0.801332,-0.00185238,0.0400065,0.0126152
1.55,0.0498146,0.0495504,0.000863444,-0.222942,-0.358713,0.0022261,0.0506113,0.00410697
1.56,0.0502725,0.0420482,-0.00128673,-0.207214,-1.06794,0.0022261,0.0546084,-0.00212205
1.57,0.0505852,0.0205198,-0.00314174,-0.163936,0.196862,0.0022261,0.0515289,0.00392522
1.58,0.0508098,0.0244029,-0.0048205,-0.171882,-2.12808,0.0022261,0.0595362,-0.0118204
1.59,0.0508413,-0.0180464,-0.00611701,-0.087607,-1.25077,0.0022261,0.059014,-0.00963473
1.6,0.0505373,-0.0427314,-0.00675094,-0.0392805,1.0243,-0.0027739,0.0291592,0.00524276
1.61,0.0502143,-0.021885,-0.00735818,-0.0821312,-1.00282,-0.00302195,0.0388957,-0.00618677
1.62,0.049897,-0.0415571,-0.00798876,-0.0440731,-2.30936,-0.00302195,0.0688328,-0.0161023
1.63,0.0492532,-0.0871691,-0.00798063,0.0455653,-0.29436,-0.00302195,0.0526831,-0.00567599
1.64,0.0483555,-0.0923582,-0.0074816,0.0542483,-0.479974,-0.00302195,0.0463711,-0.00660111
1.65,0.0473875,-0.101244,-0.00685843,0.0703894,1.58025,0.00197805,0.0445439,0.00546969
1.66,0.0465364,-0.0690132,-0.00648456,0.00449845,-1.34146,0.00207027,0.0677109,-0.011355
1.67,0.045715,-0.0952421,-0.00618376,0.0555978,-0.193793,0.00207027,0.0471587,-0.00565327
1.68,0.0447465,-0.0984578,-0.00560254,0.0606658,-0.426796,0.00207027,0.0586552,-0.00723916
1.69,0.0437225,-0.106329,-0.00492359,0.0751312,-3.51408,0.00207027,0.0475391,-0.0281952
1.7,0.0423118,-0.175774,-0.00348394,0.212659,2.19347,0.000527555,0.0372686,0.00546307
1.71,0.0407778,-0.131071,-0.00181094,0.122152,-0.292288,0.000527555,0.0391008,-0.00689988
1.72,0.0394412,-0.136245,-0.000541321,0.131815,-1.49256,0.000527555,0.0442122,-0.0148432
1.73,0.037933,-0.165386,0.00106565,0.189566,-0.36056,0.000527555,0.0488649,-0.00902269
1.74,0.0362468,-0.171863,0.00302421,0.202218,2.36579,0.000527555,0.0260886,0.00929561
1.75,0.0347678,-0.123997,0.0045677,0.106696,1.51167,0.00432891,0.0495242,0.00650022
1.76,0.0336806,-0.0934706,0.0053323,0.04635,2.87054,0.00432891,0.0332775,0.0177154
1.77,0.0330334,-0.0360199,0.00522593,-0.0674585,-0.0172255,0.00432891,0.0443538,0.00239322
1.78,0.032671,-0.0364586,0.00456187,-0.0653851,0.292043,0.00432891,0.0287205,0.00366983
1.79,0.0323352,-0.0306991,0.0038559,-0.075825,0.786076,0.00432891,0.0483984,0.00672362
1.8,0.0321063,-0.0150854,0.00294647,-0.106056,1.15542,0.00363257,0.0465232,0.00993683
1.81,0.0320702,0.00785399,0.00166106,-0.151017,-0.369933,0.00363257,0.0254363,0.00082768
1.82,0.0321109,0.000300342,0.000230346,-0.135216,0.660814,0.00363257,0.0249923,0.00638167
1.83,0.0321794,0.0134026,-0.00125052,-0.160987,-0.0772852,0.00363257,0.0178911,0.00181679
1.84,0.0323052,0.011773,-0.00284287,-0.157561,-0.744956,0.00363257,0.0287146,-0.00341158
1.85,0.0323485,-0.00310501,-0.00427011,-0.127997,-3.18105,-0.00134243,0.0272296,-0.0196739
1.86,0.0320004,-0.0664484,-0.00491901,-0.00200119,0.84245,-0.00134243,0.0288042,0.0024156
1.87,0.0314223,-0.0491869,-0.00511639,-0.0374309,-0.843845,-0.00134243,0.0390802,-0.0070735
1.88,0.030848,-0.0656434,-0.0053306,-0.00547083,-0.918092,-0.00134243,0.0334231,-0.00850859
1.89,0.0301023,-0.0834905,-0.00521201,0.0291417,-1.6887,-0.00134243,0.021345,-0.0145916
1.9,0.0291016,-0.116626,-0.00459486,0.0942187,0.355302,0.00289359,0.0405738,-0.00435916
1.91,0.0279743,-0.108845,-0.0037364,0.0775367,2.46523,0.00289359,0.0162435,0.0106594
1.92,0.0271351,-0.0590474,-0.00346375,-0.0228437,1.67349,0.00289359,0.0333298,0.00935353
1.93,0.0267135,-0.0253051,-0.00403259,-0.0908481,-1.87379,0.00289359,0.023045,-0.0119369
1.94,0.0262744,-0.0624725,-0.00457203,-0.0171767,1.38627,0.00289359,0.0122634,0.00663768
1.95,0.0257901,-0.0343999,-0.00502869,-0.0740897,3.32054,-0.000241087,0.0280914,0.0225993
1.96,0.0257791,0.032134,-0.00643858,-0.207754,-0.229114,-0.000241087,0.0246239,0.00382964
1.97,0.0260775,0.027579,-0.00847372,-0.19938,-0.403697,-0.000241087,0.0255367,0.00175788
1.98,0.0263135,0.0196433,-0.0103934,-0.184675,0.673438,-0.000241087,0.0417367,0.00787315
1.99,0.0265783,0.0333079,-0.0123842,-0.213519,-3.17379,-0.000241087,0.0365123,-0.0171265
2,0.0265957,-0.02976,-0.0138977,-0.0894494,-2.67668,-0.00233801,0.0183216,-0.0182366
2.01,0.026034,-0.0825364,-0.0142768,0.0134503,-2.49022,-0.00233801,0.0233429,-0.0206557
2.02,0.0249645,-0.131315,-0.0136689,0.108027,-0.47503,-0.00233801,0.0286072,-0.0102
2.03,0.0236096,-0.139678,-0.01252,0.121772,0.0754553,-0.00233801,0.00955138,-0.00619263
2.04,0.0222259,-0.137064,-0.0113426,0.113787,-0.738811,-0.00233801,0.0274271,-0.0105055
2.05,0.0207868,-0.150754,-0.0100807,0.13861,-1.01489,-0.0018523,0.0175366,-0.0127227
2.06,0.0191833,-0.169932,-0.00851481,0.174579,0.823432,-0.0018523,0.0203789,-0.00110309
2.07,0.0175718,-0.152406,-0.00695524,0.137461,-0.848341,-0.0018523,0.0168971,-0.01009
2.08,0.0159678,-0.168379,-0.00542984,0.167642,0.862007,-0.0018523,0.03959,0.000754024
2.09,0.014375,-0.150213,-0.00394291,0.129868,-3.60161,-0.0018523,0.0420902,-0.0269658
2.1,0.0125175,-0.22124,-0.00193995,0.270605,-1.56099,0.000290695,0.0233191,-0.0188776
2.11,0.0101548,-0.251281,0.00106043,0.32952,2.17984,0.000290695,0.0239718,0.00465761
2.12,0.00786539,-0.206665,0.00390558,0.239774,0.776667,0.000290695,-0.00621609,-0.000402588
2.13,0.00588033,-0.190376,0.00614063,0.207387,1.43487,0.000290695,0.0152639,0.00572379
2.14,0.00412302,-0.161126,0.00792491,0.149639,-0.424427,0.000290695,-0.0159389,-0.0041512
2.15,0.0024715,-0.169181,0.00950732,0.166889,1.55209,-0.00270206,0.0108205,0.00950897
2.16,0.000936627,-0.13783,0.0108695,0.105711,0.409865,-0.00270206,0.00944793,0.00458688
2.17,-0.000399826,-0.129474,0.0118522,0.0908785,1.81876,-0.00270206,-0.0019586,0.0146809
2.18,-0.00151248,-0.0930941,0.0124075,0.0203144,-0.0450309,-0.00270206,0.00183792,0.00496633
2.19,-0.00244843,-0.0940948,0.0126324,0.0246884,3.35409,-0.00270206,-0.0203717,0.0272755
2.2,-0.00305509,-0.0272951,0.0122235,-0.106297,0.55482,-0.00642674,-0.00551209,0.0145784
2.21,-0.00327481,-0.0166507,0.0110677,-0.124886,0.882991,-0.00642674,-0.0182772,0.0170934
2.22,-0.00335537,0.000533183,0.00965978,-0.156713,-0.679398,-0.00642674,0.0150103,0.00745449
2.23,-0.00342021,-0.013479,0.00824459,-0.126434,-0.229332,-0.00642674,-0.00926398,0.00883095
2.24,-0.0035796,-0.0183868,0.00703931,-0.114693,-0.651652,-0.00642674,-0.00272174,0.00523873
2.25,-0.00382986,-0.0316466,0.00603359,-0.0865381,1.88015,-0.00282,0.00434097,0.0195991
2.26,-0.00395944,0.00570535,0.00480199,-0.159727,-2.08987,-0.00282,-0.00239909,-0.00455398
2.27,-0.00411252,-0.0362765,0.00363159,-0.0745334,-2.80219,-0.00282,0.00864289,-0.0131276
2.28,-0.00475522,-0.092211,0.00345019,0.0380752,1.49173,-0.00282,0.016895,0.0110434
2.29,-0.00552714,-0.0622006,0.00353369,-0.0212808,-3.27608,-0.00282,0.00245269,-0.0183407
2.3,-0.00647569,-0.127454,0.00397707,0.109781,-0.91102,-0.00419604,-0.002853,-0.00704398
2.31,-0.00783909,-0.145217,0.0052547,0.145749,-0.150242,-0.00419604,-0.0152312,-0.00274773
2.32,-0.00930395,-0.147764,0.00674058,0.151488,3.89327,-0.00419604,-0.000557162,0.0246467
2.33,-0.0103909,-0.0696967,0.00747924,-0.00348822,2.55531,-0.00419604,-0.00895262,0.0221064
2.34,-0.0108328,-0.018739,0.00694227,-0.103779,-0.904789,-0.00419604,-0.00619805,0.00272746
2.35,-0.0111118,-0.0370375,0.0060958,-0.0656093,-1.72163,-0.00919604,-0.0256737,-0.00289896
2.36,-0.0116547,-0.071505,0.00579128,0.0045866,1.00777,-0.00962978,-0.026102,0.0129597
2.37,-0.0122689,-0.0513403,0.00564114,-0.0345617,-4.43009,-0.00962978,0.00102829,-0.0214232
2.38,-0.0132247,-0.139746,0.00618545,0.143182,-1.28698,-0.00962978,-0.0264398,-0.00686346
2.39,-0.0147486,-0.165028,0.00787391,0.194511,0.659463,-0.00962978,-0.0156764,0.00508544
2.4,-0.0163307,-0.151421,0.00968774,0.168376,3.77958,-0.00540527,-0.0142458,0.0264485
2.41,-0.017466,-0.0757147,0.0106215,0.0186526,2.1311,-0.00540527,0.000724245,0.0215195
2.42,-0.018011,-0.0333075,0.0103942,-0.0640029,-1.2333,-0.00540527,-0.030247,0.00203547
2.43,-0.0184687,-0.0582148,0.0100143,-0.0120637,-2.13745,-0.00540527,-0.00845805,-0.00635841
2.44,-0.019265,-0.101017,0.0103316,0.075402,1.97623,-0.00540527,-0.0108651,0.0176233
2.45,-0.0200777,-0.061557,0.0107001,-0.00157078,0.287879,-0.00549906,-0.0170855,0.00943296
2.46,-0.0206654,-0.0559875,0.0106392,-0.0105948,-2.16074,-0.00549906,-0.034775,-0.00668852
2.47,-0.021442,-0.0992862,0.0109767,0.077981,2.63779,-0.00549906,-0.00191751,0.0218542
2.48,-0.0221715,-0.0466612,0.01124,-0.0251624,-0.119083,-0.00549906,-0.00941835,0.00751957
2.49,-0.0226513,-0.0493022,0.0110261,-0.0176236,2.25659,-0.00549906,-0.00950573,0.0228683
2.5,-0.0229203,-0.00453154,0.0104134,-0.104826,-1.80502,-0.00450037,-0.0157094,-0.00145727
2.51,-0.023148,-0.0409797,0.00974131,-0.02973,1.66484,-0.00450037,-0.0237516,0.0183259
2.52,-0.0233928,-0.00800201,0.0091243,-0.0936028,-0.549801,-0.00450037,-0.0176065,0.00572511
2.53,-0.0235296,-0.0193418,0.008312,-0.0689293,-0.812888,-0.00450037,-0.0225219,0.00261333
2.54,-0.0238056,-0.0358401,0.00779685,-0.0341768,1.07274,-0.00450037,-0.0225128,0.0135875
2.55,-0.0240578,-0.01462,0.00725108,-0.0749394,-0.768104,-0.00662231,-0.0254976,0.00339666
2.56,-0.0242821,-0.0302056,0.00666575,-0.0422016,1.16003,-0.00662231,-0.0266719,0.0149024
2.57,-0.0244691,-0.00722653,0.00602116,-0.0866779,-3.04053,-0.00662231,-0.0368467,-0.0114435
2.58,-0.0248462,-0.0681305,0.00577051,0.0363529,0.576036,-0.00662231,-0.0233677,0.00791752
